Id,Road_Type,Property_Shape,House_Type,House_Condition,Construction_Year,Remodel_Year,BsmtFinSF1,Total_Basement_Area,Air_Conditioning,First_Floor_Area,Second_Floor_Area,LowQualFinSF,Underground_Full_Bathroom,Full_Bathroom_Above_Grade,Bedroom_Above_Grade,Kitchen_Quality,Rooms_Above_Grade,Fireplaces,Garage,Garage_Built_Year,Garage_Area,Pool_Area,Miscellaneous_Value,Year_Sold,Sale_Price
30,Paved,IR1,1Fam,6,1927,1950,0,520,N,520,0,0,0,1,1,Fa,4,0,Detchd,1920,563.2561402,0,0,2008,68500
31,Paved,Reg,1Fam,4,1920,1950,0,649,N,649,668,0,0,1,3,TA,6,0,Detchd,1920,777.2836395,0,0,2008,40000
32,Paved,IR1,1Fam,6,1966,2006,0,1228,Y,1228,0,0,0,1,3,Gd,6,0,Attchd,1966,442.2104134,0,0,2008,149350
33,Paved,Reg,1Fam,5,2007,2007,0,1234,Y,1234,0,0,0,2,3,Gd,7,0,Attchd,2007,413.8161491,0,0,2008,179900
34,Paved,IR1,1Fam,5,1959,1959,1018,1398,Y,1700,0,0,0,1,4,Gd,6,1,Attchd,1959,593.4819916,0,0,2010,165500
35,Paved,Reg,TwnhsE,5,2005,2005,1153,1561,Y,1561,0,0,1,2,2,Ex,6,1,Attchd,2005,419.7483591,0,0,2007,277500
36,Paved,Reg,1Fam,5,2004,2005,0,1117,Y,1132,1320,0,0,3,4,Gd,9,1,BuiltIn,2004,267.9286078,0,0,2006,309000
37,Paved,Reg,1Fam,5,1994,1995,0,1097,Y,1097,0,0,0,1,3,TA,6,0,Attchd,1995,717.4739031,0,0,2009,145000
38,Paved,Reg,1Fam,6,1954,1990,1213,1297,Y,1297,0,0,0,1,3,TA,5,1,Attchd,1954,237.1902852,0,0,2009,153000
39,Paved,Reg,1Fam,7,1953,2007,731,1057,Y,1057,0,0,1,1,3,Gd,5,0,Detchd,1953,395.5284934,0,0,2010,109000
40,Paved,Reg,Duplex,5,1955,1955,0,0,N,1152,0,0,0,2,2,Fa,6,0,NA,NA,136.2445215,0,0,2008,82000
41,Paved,Reg,1Fam,5,1965,1965,643,1088,Y,1324,0,0,0,2,3,TA,6,1,Attchd,1965,621.4538684,0,0,2006,160000
42,Paved,Reg,1Fam,6,1959,1959,967,1350,Y,1328,0,0,0,1,2,TA,5,2,Attchd,1959,544.5001003,0,0,2007,170000
43,Paved,IR1,1Fam,7,1983,1983,747,840,Y,884,0,0,1,1,2,Gd,5,0,Attchd,1983,293.2254629,0,0,2007,144000
44,Paved,IR1,1Fam,6,1975,1980,280,938,Y,938,0,0,1,1,3,TA,5,0,Detchd,1977,491.6602523,0,0,2008,130250
45,Paved,Reg,1Fam,6,1959,1959,179,1150,Y,1150,0,0,1,1,3,TA,6,0,Attchd,1959,110.1744117,0,0,2006,141000
46,Paved,Reg,TwnhsE,5,2005,2005,456,1752,Y,1752,0,0,1,2,2,Ex,6,1,Attchd,2005,654.1359453,0,0,2010,319900
47,Paved,IR1,1Fam,5,2003,2003,1351,1434,Y,1518,631,0,1,1,1,Gd,6,1,Attchd,2003,96.54905156,0,0,2009,239686
48,Paved,Reg,1Fam,5,2006,2006,24,1656,Y,1656,0,0,0,2,3,Gd,7,0,Attchd,2006,577.63704,0,0,2007,249700
49,Paved,Reg,2fmCon,5,1920,2008,0,736,Y,736,716,0,0,2,2,TA,8,0,NA,NA,512.6377882,0,0,2009,113000
50,Paved,Reg,1Fam,7,1966,1966,763,955,Y,955,0,0,1,1,3,TA,6,0,Attchd,1966,582.1882249,0,0,2007,127000
51,Paved,IR2,1Fam,6,1997,1997,182,794,Y,794,676,0,0,2,3,TA,6,0,Attchd,1997,846.8765419,0,0,2007,177000
52,Paved,Reg,1Fam,6,1934,1950,0,816,Y,816,0,360,0,1,3,TA,6,1,Detchd,1985,258.5593037,0,400,2006,114500
53,Gravel,IR2,Duplex,5,1963,1963,104,816,N,816,0,0,1,1,2,TA,5,0,CarPort,1963,607.5175681,0,0,2010,110000
54,Paved,IR1,1Fam,5,1981,1987,1810,1842,Y,1842,0,0,2,0,0,Gd,5,1,Attchd,1981,569.9209179,0,0,2006,385000
55,Paved,Reg,1Fam,5,1955,1955,384,384,Y,1360,0,0,0,1,3,TA,6,1,Detchd,1962,403.1134806,0,0,2007,130000
56,Paved,IR1,1Fam,5,1964,1964,490,1425,Y,1425,0,0,0,2,3,TA,7,1,Attchd,1964,450.3479153,0,0,2008,180500
57,Paved,Reg,Twnhs,5,1999,2000,649,970,Y,983,756,0,1,2,3,Gd,7,0,Attchd,1999,742.6971474,0,0,2009,172500
58,Paved,IR1,1Fam,5,2004,2004,0,860,Y,860,860,0,0,2,3,Gd,7,0,Attchd,2004,375.5301762,0,0,2006,196500
59,Paved,IR2,1Fam,5,2006,2006,0,1410,Y,1426,1519,0,0,3,3,Gd,10,1,BuiltIn,2006,539.4719527,0,0,2006,438780
60,Paved,Reg,1Fam,7,1972,1972,632,780,Y,780,0,0,0,1,2,TA,4,0,Detchd,1973,367.9304431,0,0,2008,124900
61,Paved,Reg,1Fam,5,2004,2004,941,1158,Y,1158,0,0,1,1,3,Gd,5,0,Detchd,2006,21.53949191,0,0,2006,158000
62,Paved,Reg,1Fam,7,1920,1996,0,530,N,581,530,0,0,1,3,Fa,6,0,Detchd,1935,235.0829995,0,0,2007,101000
63,Paved,IR1,TwnhsE,5,2006,2006,24,1370,Y,1370,0,0,0,2,2,Gd,6,1,Attchd,2006,102.254745,0,0,2007,202500
64,Paved,IR1,1Fam,6,1921,1950,0,576,Y,902,808,0,0,2,3,TA,9,0,Detchd,1990,777.1073708,0,0,2010,140000
65,Paved,Reg,1Fam,5,1997,1998,739,1057,Y,1057,977,0,1,2,3,Gd,8,0,Attchd,1998,781.8988952,0,0,2009,219500
66,Paved,Reg,1Fam,5,2004,2005,0,1143,Y,1143,1330,0,0,2,4,Gd,9,1,BuiltIn,2004,405.1776671,0,0,2007,317000
67,Paved,Reg,1Fam,5,1970,1989,912,1947,Y,2207,0,0,1,2,3,TA,7,1,Attchd,1970,338.577519,0,0,2010,180000
68,Paved,IR1,1Fam,5,2003,2003,1013,1453,Y,1479,0,0,1,2,3,Gd,7,0,Attchd,2003,765.2546999,0,0,2007,226000
69,Paved,Reg,1Fam,6,1945,1950,0,747,Y,747,0,0,0,1,2,TA,4,0,Attchd,1945,362.2616548,0,0,2010,80000
70,Paved,Reg,1Fam,4,1953,1953,603,1304,Y,1304,983,0,0,2,3,TA,7,1,Attchd,1953,-16.86034661,0,0,2006,225000
71,Paved,IR1,1Fam,6,1973,1973,1880,2223,Y,2223,0,0,1,2,3,TA,8,2,Attchd,1973,552.9030395,0,0,2007,244000
72,Paved,Reg,1Fam,6,1982,2006,565,845,Y,845,0,0,1,1,2,TA,4,0,Detchd,1987,333.1409565,0,0,2007,129500
73,Paved,IR1,1Fam,5,1998,1998,0,832,Y,885,833,0,0,2,3,TA,7,1,Attchd,1998,429.3669263,0,0,2009,185000
74,Paved,Reg,1Fam,7,1954,2003,320,1086,Y,1086,0,0,1,1,3,TA,6,0,Attchd,1989,304.1884116,0,0,2010,144900
75,Paved,Reg,1Fam,6,1915,1950,0,840,N,840,765,0,0,2,3,TA,8,0,Detchd,1915,693.5697603,0,0,2010,107400
76,Paved,Reg,Twnhs,5,1973,1973,462,462,Y,526,462,0,1,1,2,TA,5,0,BuiltIn,1973,321.9281209,0,0,2009,91000
77,Paved,IR1,1Fam,7,1956,1956,228,952,Y,952,0,0,0,1,2,TA,4,0,Detchd,1956,561.5477447,0,0,2008,135750
78,Paved,Reg,1Fam,5,1948,2001,336,672,Y,1072,213,0,1,1,2,TA,6,0,Detchd,1948,743.1201007,0,0,2008,127000
79,Paved,Reg,Duplex,5,1968,1968,0,1768,N,1768,0,0,0,2,4,TA,8,0,NA,NA,341.0191785,0,0,2010,136500
80,Paved,Reg,1Fam,6,1910,1981,0,440,Y,682,548,0,0,1,2,TA,5,0,Detchd,1966,636.6983056,0,0,2009,110000
81,Paved,Reg,1Fam,6,1968,1968,448,896,Y,1182,960,0,0,2,4,Gd,8,1,Attchd,1968,307.8393573,0,0,2009,193500
82,Paved,Reg,TwnhsE,5,1998,1998,1201,1237,Y,1337,0,0,1,2,2,TA,5,0,Attchd,1998,564.9130347,0,0,2006,153500
83,Paved,Reg,1Fam,5,2007,2007,33,1563,Y,1563,0,0,0,2,3,Gd,6,1,Attchd,2007,593.688659,0,0,2008,245000
84,Paved,IR1,1Fam,5,1960,1960,0,1065,Y,1065,0,0,0,1,3,TA,6,0,Detchd,1974,612.2382132,0,0,2007,126500
85,Paved,IR1,1Fam,5,1995,1996,0,384,Y,804,670,0,0,2,3,TA,7,1,BuiltIn,1995,661.5309496,0,700,2009,168500
86,Paved,Reg,1Fam,5,1991,1992,0,1288,Y,1301,1116,0,0,2,4,Gd,9,1,Attchd,1991,465.8217388,0,0,2006,260000
87,Paved,IR2,1Fam,5,2005,2005,0,684,Y,684,876,0,0,2,3,Gd,6,1,BuiltIn,2005,516.8278722,0,0,2009,174000
88,Paved,Reg,TwnhsE,5,2009,2009,0,612,Y,612,612,0,0,2,2,Gd,4,0,Detchd,2009,464.9092967,0,0,2009,164500
89,Paved,IR1,1Fam,2,1915,1982,0,1013,N,1013,0,513,0,1,2,Fa,6,0,NA,NA,182.8456011,0,0,2009,85000
90,Paved,Reg,1Fam,5,1994,1995,588,990,Y,990,0,0,1,1,3,TA,5,0,NA,NA,394.8365235,0,0,2007,123600
91,Paved,Reg,1Fam,5,1950,1950,0,0,Y,1040,0,0,0,1,2,TA,4,0,Detchd,1950,468.6444654,0,0,2006,109900
92,Paved,Reg,1Fam,3,1961,1961,600,1235,Y,1235,0,0,0,1,2,TA,6,0,Attchd,1961,532.0311906,0,0,2006,98600
93,Paved,IR1,1Fam,7,1921,2006,713,876,Y,964,0,0,1,1,2,TA,5,0,Detchd,1921,414.7406432,0,0,2009,163500
94,Paved,Reg,2fmCon,6,1910,1998,1046,1214,N,1260,1031,0,0,2,4,TA,9,1,Detchd,1900,305.2323442,0,0,2007,133900
95,Paved,IR1,1Fam,5,1997,1997,648,824,Y,905,881,0,1,2,3,Gd,7,0,Attchd,1997,381.2843325,0,0,2007,204750
96,Paved,IR2,1Fam,8,1993,1993,310,680,Y,680,790,0,0,2,3,TA,6,1,BuiltIn,1993,588.8632663,0,480,2009,185000
97,Paved,IR1,1Fam,5,1999,1999,1162,1588,Y,1588,0,0,0,2,3,Gd,6,0,Attchd,1999,545.0749437,0,0,2006,214000
98,Paved,Reg,1Fam,5,1965,1965,520,960,Y,960,0,0,1,1,3,TA,6,0,Attchd,1965,513.1062421,0,0,2007,94750
99,Paved,Reg,1Fam,5,1920,1950,108,458,N,835,0,0,0,1,2,TA,5,0,Basment,1920,620.6751983,0,400,2010,83000
100,Paved,IR1,1Fam,5,1959,1959,569,950,Y,1225,0,0,1,1,3,TA,6,0,NA,NA,131.3391485,0,400,2010,128950
101,Paved,IR1,1Fam,7,1977,2001,1200,1610,Y,1610,0,0,1,2,3,Gd,6,2,Attchd,1977,627.9484911,0,0,2010,205000
102,Paved,Reg,1Fam,5,1985,1985,0,741,Y,977,755,0,0,2,3,Gd,7,1,Attchd,1985,279.7890997,0,0,2010,178000
103,Paved,Reg,Duplex,5,1979,1979,0,0,Y,1535,0,0,0,2,4,TA,8,0,Attchd,1979,329.4561879,0,0,2009,118964
104,Paved,IR1,1Fam,5,2009,2009,0,1226,Y,1226,0,0,0,2,3,Gd,6,0,Attchd,2009,119.1401145,0,0,2010,198900
105,Paved,Reg,1Fam,4,1931,1950,224,1040,Y,1226,592,0,0,1,4,TA,7,2,Detchd,1951,116.6053807,0,0,2007,169500
106,Paved,Reg,1Fam,5,2003,2004,0,1053,Y,1053,939,0,0,2,3,Gd,9,1,Attchd,2003,496.7550537,0,0,2008,250000
107,Paved,Reg,1Fam,7,1885,1995,0,641,Y,1047,0,0,0,1,2,TA,6,0,Detchd,1954,690.7513658,0,450,2007,100000
108,Paved,Reg,1Fam,5,1948,1950,104,789,Y,789,0,0,0,1,2,TA,5,0,Detchd,1948,571.6594254,0,0,2008,115000
109,Paved,Reg,1Fam,7,1919,2005,0,793,N,997,520,0,0,2,3,Fa,7,0,NA,NA,481.0790516,0,0,2007,115000
110,Paved,IR1,1Fam,6,1977,1977,705,1844,Y,1844,0,0,0,2,3,TA,7,1,Attchd,1977,268.7690042,0,0,2010,190000
111,Paved,Reg,1Fam,4,1954,1972,444,994,Y,1216,639,0,0,2,4,TA,7,0,Attchd,1954,645.8646319,0,0,2006,136900
112,Paved,IR1,1Fam,5,2000,2000,250,384,Y,774,656,0,0,2,3,TA,7,1,BuiltIn,2000,531.0076591,0,0,2010,180000
113,Paved,Reg,1Fam,5,2007,2007,984,1264,Y,1282,1414,0,1,2,4,Ex,10,1,BuiltIn,2007,374.4299439,0,0,2007,383970
114,Paved,Reg,1Fam,5,1953,1953,35,1809,Y,2259,0,0,1,2,3,Gd,7,2,Basment,1953,548.279291,0,0,2007,217000
115,Paved,IR1,1Fam,8,1945,2002,774,1028,Y,1436,884,0,1,2,3,Gd,9,1,Detchd,1945,1076.811737,0,0,2007,259500
116,Paved,Reg,TwnhsE,5,1999,1999,419,729,Y,729,729,0,0,2,2,TA,5,1,Detchd,1999,722.7636296,0,0,2007,176000
117,Paved,Reg,1Fam,5,1962,1962,170,1092,Y,1092,0,0,0,1,3,TA,6,1,Attchd,1962,618.5182103,0,0,2009,139000
118,Paved,Reg,1Fam,5,2006,2007,0,1125,Y,1125,0,0,0,1,2,TA,5,0,Attchd,2007,491.0297353,0,0,2007,155000
119,Paved,Reg,1Fam,5,1990,1990,1470,1673,Y,1699,1523,0,1,3,5,Gd,11,2,Attchd,1990,368.0227185,0,0,2010,320000
120,Paved,Reg,1Fam,5,2005,2006,0,728,Y,728,728,0,0,2,3,Gd,8,1,Attchd,2005,521.6603375,0,0,2006,163990
121,Paved,IR1,1Fam,5,1969,1969,938,938,Y,988,0,0,1,1,1,TA,4,2,Attchd,1969,701.3636152,0,0,2006,180000
122,Paved,Reg,1Fam,5,1939,1950,0,732,Y,772,351,0,0,1,3,TA,4,0,Detchd,1979,458.7203628,0,0,2007,100000
123,Paved,Reg,1Fam,7,1958,1958,570,1080,Y,1080,0,0,0,1,3,TA,5,0,Attchd,1958,489.3421507,0,0,2008,136000
124,Paved,Reg,TwnhsE,5,1993,1993,300,1199,Y,1199,0,0,0,2,2,Gd,5,0,Attchd,1993,364.8041862,0,0,2008,153900
125,Paved,IR1,1Fam,5,1979,1998,0,1362,Y,1586,0,0,0,2,3,TA,7,1,Attchd,1979,549.282343,0,0,2009,181000
126,Paved,Reg,2fmCon,8,1935,1982,490,520,N,520,0,234,1,1,2,TA,5,0,NA,NA,351.7206628,0,0,2006,84500
127,Paved,IR1,TwnhsE,5,1976,1976,120,1078,Y,958,0,0,0,2,2,TA,5,1,Attchd,1977,441.0933297,0,0,2007,128000
128,Paved,IR1,1Fam,7,1930,1950,116,672,Y,840,0,0,0,1,3,TA,5,1,NA,NA,214.8395986,0,0,2007,87000
129,Paved,Reg,1Fam,5,1966,1966,512,660,Y,660,688,0,0,1,3,TA,6,1,Attchd,1966,572.9458929,0,0,2006,155000
130,Paved,Reg,1Fam,7,1958,1991,567,1008,Y,1053,0,0,0,1,3,Ex,6,0,2TFes,1998,704.0465849,0,0,2006,150000
131,Paved,Reg,1Fam,6,1966,1966,445,924,Y,1216,941,0,0,2,4,Gd,8,2,Attchd,1966,517.4515714,0,0,2006,226000
132,Paved,IR1,1Fam,5,2000,2000,695,992,Y,1022,1032,0,1,2,3,Gd,7,1,BuiltIn,2000,378.4144234,0,0,2009,244000
133,Paved,Reg,1Fam,6,1959,2002,405,1063,Y,1327,0,0,1,1,3,Gd,7,0,Detchd,1974,332.6386938,0,0,2007,150750
134,Paved,IR1,1Fam,5,2001,2002,1005,1267,Y,1296,0,0,1,2,2,Gd,6,0,Attchd,2001,576.4625316,0,0,2009,220000
135,Paved,IR1,1Fam,6,1968,1993,570,1461,Y,1721,0,0,0,2,3,TA,7,1,Attchd,1968,302.279469,0,0,2006,180000
136,Paved,Reg,1Fam,6,1970,1970,0,1304,Y,1682,0,0,0,2,3,TA,7,1,Attchd,1970,330.6874374,0,0,2008,174000
137,Paved,IR1,1Fam,5,1967,1967,695,1214,Y,1214,0,0,0,2,3,TA,5,1,Attchd,1967,724.1300178,0,0,2007,143000
138,Paved,Reg,Duplex,5,1988,1989,0,1907,Y,1959,0,0,0,3,5,TA,9,0,2TFes,1989,654.1277409,0,0,2006,171000
139,Paved,IR1,1Fam,5,1999,2000,668,1004,Y,1004,848,0,0,2,3,Gd,7,2,Attchd,1999,375.0980236,0,0,2008,230000
140,Paved,IR1,1Fam,5,1997,1997,821,928,Y,928,836,0,1,2,3,Gd,7,0,Attchd,1997,538.9946614,0,0,2009,231500
141,Paved,Reg,1Fam,5,1971,1971,432,864,Y,864,0,0,0,1,3,TA,5,1,NA,NA,153.129513,0,0,2010,115000
142,Paved,Reg,1Fam,5,2005,2005,1300,1734,Y,1734,0,0,1,2,3,Gd,7,0,Attchd,2005,557.4638599,0,0,2006,260000
143,Paved,Reg,1Fam,4,1952,1952,507,910,Y,910,475,0,0,2,4,TA,6,0,Detchd,2000,398.7172467,0,0,2010,166000
144,Paved,IR1,1Fam,5,1999,1999,679,1490,Y,1501,0,0,1,2,3,Gd,6,0,Attchd,1999,613.718407,0,0,2009,204000
145,Paved,Reg,Duplex,5,1963,1963,1332,1728,Y,1728,0,0,1,2,6,TA,10,0,Detchd,1963,309.5214076,0,0,2006,125000
146,Paved,Reg,Twnhs,5,2004,2006,0,970,Y,970,739,0,0,2,3,Gd,7,0,Detchd,2004,215.9196418,0,0,2006,130000
147,Paved,Reg,1Fam,7,1931,1993,209,715,Y,875,0,0,1,1,2,TA,5,0,Detchd,1931,595.3347433,0,0,2009,105000
148,Paved,IR1,1Fam,5,2001,2001,0,884,Y,884,1151,0,0,2,3,Gd,8,1,BuiltIn,2001,227.0128828,0,0,2010,222500
149,Paved,Reg,1Fam,5,2004,2005,680,1080,Y,1080,0,0,1,1,3,Gd,6,0,NA,NA,422.4208665,0,0,2008,141000
150,Paved,Reg,1Fam,4,1936,1950,0,896,Y,896,448,0,0,1,3,TA,7,0,Detchd,1936,299.2563602,0,0,2006,115000
151,Paved,Reg,1Fam,6,1975,1975,716,969,Y,969,0,0,0,1,3,TA,5,0,Attchd,1975,898.7287691,0,0,2007,122000
152,Paved,Reg,1Fam,5,2007,2008,1400,1710,Y,1710,0,0,1,2,2,Gd,6,1,Attchd,2007,442.4507521,0,0,2008,372402
153,Paved,IR1,1Fam,5,1971,1971,416,825,Y,1097,896,0,0,2,4,TA,8,1,Attchd,1971,340.117263,0,0,2006,190000
154,Paved,Reg,1Fam,7,1960,1975,429,1602,Y,1252,0,0,1,1,1,TA,4,1,Attchd,1960,530.4565679,0,0,2008,235000
155,Paved,Reg,1Fam,5,1923,1950,0,1200,Y,1200,0,0,0,1,4,TA,7,0,Detchd,1923,641.0933248,0,0,2006,125000
156,Paved,Reg,1Fam,5,1924,1950,0,572,N,572,524,0,0,1,2,TA,5,0,NA,NA,298.3324745,0,0,2008,79000
157,Paved,Reg,1Fam,7,1950,1950,0,0,Y,1040,0,0,0,1,2,TA,5,0,Detchd,1950,269.9076071,0,0,2006,109500
158,Paved,Reg,1Fam,5,2009,2010,0,774,Y,774,1194,0,0,2,4,Ex,8,1,BuiltIn,2009,494.50758,0,0,2010,269500
159,Paved,Reg,1Fam,5,2004,2005,222,991,Y,991,956,0,0,2,3,Gd,8,1,Attchd,2004,98.25949838,0,0,2010,254900
160,Paved,IR1,1Fam,5,2005,2006,57,1392,Y,1392,1070,0,1,2,4,Gd,9,1,Attchd,2006,793.1145533,0,0,2006,320000
161,Paved,IR1,1Fam,6,1984,1984,660,1232,Y,1232,0,0,0,2,3,TA,6,0,Attchd,1984,534.8552271,0,0,2008,162500
162,Paved,IR1,1Fam,5,2003,2004,1016,1572,Y,1572,1096,0,1,2,3,Ex,10,2,BuiltIn,2003,467.7568425,0,0,2008,412500
163,Paved,Reg,1Fam,5,2005,2005,1201,1541,Y,1541,0,0,0,2,3,Gd,7,1,Attchd,2005,540.7978683,0,0,2010,220000
164,Paved,Reg,1Fam,6,1956,1956,0,882,Y,882,0,0,0,1,1,TA,4,0,NA,NA,539.2447701,0,0,2007,103200
165,Paved,Reg,1Fam,7,1926,2004,370,1149,Y,1149,467,0,0,2,3,Gd,5,0,Detchd,1926,673.5855354,0,0,2007,152000
166,Paved,Reg,2fmCon,7,1940,1999,351,644,Y,808,547,0,1,2,4,TA,6,0,NA,NA,551.5024286,0,0,2008,127500
167,Paved,IR1,1Fam,5,1955,1993,379,1617,Y,1867,0,0,1,1,2,TA,7,3,Attchd,1955,465.8545174,0,0,2009,190000
168,Paved,Reg,1Fam,5,2007,2007,1288,1582,Y,1610,551,0,1,1,3,Ex,8,1,Attchd,2007,438.1664847,0,0,2007,325624
169,Paved,IR1,1Fam,5,2004,2004,0,840,Y,840,880,0,0,2,3,Gd,7,1,Attchd,2004,633.2406803,0,0,2007,183500
170,Paved,IR1,1Fam,6,1981,1981,0,1686,Y,1707,0,0,0,2,2,TA,6,1,Attchd,1981,612.6412732,0,0,2006,228000
171,Paved,IR1,1Fam,6,1941,1950,360,720,Y,854,0,528,0,1,2,TA,7,0,Detchd,1991,460.8415063,0,0,2007,128500
172,Paved,IR1,1Fam,5,1960,1960,639,1080,Y,1656,0,0,1,1,3,TA,7,2,Attchd,1960,629.5182834,0,0,2010,215000
173,Paved,IR1,TwnhsE,7,1987,1987,495,1064,Y,1064,703,0,1,2,2,Gd,5,1,Attchd,1987,464.5148775,0,0,2006,239000
174,Paved,IR1,1Fam,5,1961,1961,288,1362,Y,1362,0,0,1,1,3,TA,6,1,Attchd,1961,897.4017828,0,0,2008,163000
175,Paved,IR1,1Fam,5,1986,1986,1398,1606,Y,1651,0,0,1,2,3,TA,7,1,Attchd,1986,542.4010231,0,0,2008,184000
176,Paved,Reg,1Fam,7,1950,2001,477,1202,Y,2158,0,0,1,2,4,Gd,7,1,Attchd,1950,516.8996132,0,0,2007,243000
177,Paved,IR1,1Fam,5,1988,1989,831,1151,Y,1164,896,0,0,2,4,TA,8,1,Attchd,1988,257.3523909,0,0,2007,211000
178,Paved,Reg,1Fam,5,1958,1958,57,1052,Y,1252,668,0,1,2,4,Gd,8,1,Attchd,1958,664.6235842,0,0,2006,172500
179,Paved,IR1,1Fam,5,2008,2009,1904,2216,Y,2234,0,0,1,2,1,Ex,9,1,Attchd,2009,286.5943105,0,0,2009,501837
180,Paved,Reg,1Fam,6,1923,2006,0,968,Y,968,0,0,0,1,2,TA,5,0,Detchd,1935,344.1609598,0,0,2007,100000
181,Paved,Reg,Twnhs,5,2000,2000,436,756,Y,769,756,0,0,2,3,Gd,5,1,Detchd,2000,839.6875212,0,0,2007,177000
